No,City,Census1991,Census2001,Census2011,Longitude,Latitude,,,
1,London,6715769,7208384,8250205,1905,2454,,,
2,Birmingham,965928,970892,1085810,1609,2119,,,
3,Glasgow,0,575132,590507,1371,992,,,
4,Liverpool,538386,523783,552267,1474,1810,,,
5,Bristol,496044,516997,535907,1441,2401,,,
6,Sheffield,457805,469127,518090,1717,1848,,,
7,Manchester,447863,438752,510746,1595,1810,,,
8,Leeds,424194,445795,474632,1740,1730,,,
9,Edinburgh,400632,431393,459366,1540,1054,,,
10,Leicester,377700,401448,443760,1752,2087,,,
11,Bradford,305101,311130,349561,1675,1716,,,
12,Cardiff,276464,296808,335145,1324,2364,,,
13,Coventry,299316,305854,325949,1675,2143,,,
14,Nottingham,270222,249584,289301,1758,1992,,,
15,Kingston upon Hull,310636,301416,284321,1945,1768,,,
16,Belfast,279237,276705,280561,1010,1367,,,
17,Stoke-on-Trent,266543,259252,270726,1801,1506,,,
18,Newcastle upon Tyne,255362,254777,268064,1759,1372,,,
19,Derby,223836,229407,255394,1702,2001,,,
20,Southampton,210138,234224,253651,1631,2597,,,
21,Portsmouth,0,0,238137,1692,2644,,,
22,Plymouth,0,0,234982,1092,2676,,,
23,Brighton and Hove,192453,206628,229700,1865,2655,,,
24,Reading,213474,...,218705,1727,2451,,,
25,Northampton,183082,197199,215173,1782,2210,,,
26,Luton,171671,185543,211228,1853,2329,,,
27,Wolverhampton,0,0,210319,1572,2082,,,
28,Aberdeen,182133,185226,195021,1785,701,,,
29,Bolton,0,0,194189,1557,1772,,,
30,Bournemouth,155488,167527,187503,1547,2643,,,
31,Norwich,171304,174047,186682,2192,2147,,,
32,Swindon,145236,155432,182441,1597,2398,,,
33,Swansea,171038,169880,179485,1165,2306,,,
34,Southend-on-Sea,158517,160257,175547,2063,2464,,,
35,Middlesbrough,184773,175479,174700,1867,1497,,,
36,Sunderland,183310,177739,174286,1796,1414,,,
37,Milton Keynes,102428,122041,171750,1803,2266,,,
38,Warrington,152458,158195,165456,1530,1827,,,
39,Huddersfield,147847,149938,162949,1701,1733,,,
40,Peterborough,134788,136292,161707,1910,2119,,,
41,Oxford,118795,143016,159994,1699,2350,,,
42,Slough,121811,137736,155298,1810,2447,,,
43,Poole,138479,144800,154718,1527,2646,,,
44,York,124609,137505,152841,1822,1699,,,
45,Blackpool,146262,142283,147663,1472,1676,,,
46,Dundee,0,145817,147285,1627,900,,,
47,Cambridge,109912,127713,145818,1979,2254,,,
48,Ipswich,130157,138718,144957,2151,2317,,,
49,Birkenhead,149164,137634,142968,1444,1812,,,
50,Telford,114251,131489,142723,1512,2021,,,
51,Gloucester,114003,123205,136362,1518,2297,,,
52,Sale,0,0,134022,1578,1822,,,
53,Watford,113080,120960,131982,1849,2396,,,
54,Newport,115522,118323,128060,1372,2351,,,
55,Solihull,118103,118907,123187,1635,2150,,,
56,High Wycombe,106123,110473,120256,1774,2403,,,
57,Gateshead,118212,112599,120046,1761,1390,,,
58,Colchester,96063,104390,119441,2085,2359,,,
59,Blackburn,0,0,117963,1564,1737,,,
60,Cheltenham,102633,110320,116447,1548,2284,,,
61,Exeter,94717,106772,113507,1227,2597,,,
62,Chelmsford,97451,99962,110507,2016,2397,,,
63,Doncaster,103580,101056,109805,1798,1819,,,
64,Rotherham,0,0,109691,1764,1862,,,
65,Eastbourne,94793,106562,109185,1943,2680,,,
66,Worthing,0,0,109120,1819,2655,,,
67,Sutton Coldfield,106001,105452,109015,1616,2107,,,
68,Rochdale,100935,102888,107926,1620,1773,,,
69,Maidstone,0,0,107627,2017,2548,,,
70,Basingstoke,81228,93963,107355,1682,2493,,,
71,Basildon,100924,99876,107123,2012,2433,,,
72,Crawley,88203,100547,106943,1868,2568,,,
73,Stockport,0,0,105878,1611,1841,,,
74,Woking,101484,105262,105367,1806,2501,,,
75,Gillingham,94923,98403,104157,2025,2519,,,
76,Salford,0,0,103886,1572,1805,,,
77,Wigan,98070,92415,103608,1530,1788,,,
78,St Helens,106293,102629,102885,1510,1801,,,
79,Lincoln,97996,104221,100160,1886,1926,,,
80,Worcester,82661,94029,100153,1540,2197,,,
,,,,,,,,,
,,,,,,,,,
